"Name","Created","Runtime","End Time","Hostname","Notes","GPU Type","Updated","Tags","alpha","c_num","dsf","z_channels","Bits_per_pixel","test_crossH","test_mse","test_softcrossH","test_total","train_crossH","train_mse","train_softcrossH","train_total","zdim"
"whole-violet-216","2021-04-21T16:28:50.000Z","490","2021-04-21T16:37:00.000Z","gpu010.cluster","-","TITAN Xp","2021-04-21T16:37:00.000Z","","0.008","32","8","4","0.09252170451630844","1.0260985204696655","0.014736245638132096","1.4051743957519531","1.052076160812378","1.0215930938720703","0.015818197280168533","1.4099708795547483","1.0486910343170166","64"
"peach-water-215","2021-04-21T16:28:50.000Z","488","2021-04-21T16:36:58.000Z","gpu010.cluster","-","TITAN Xp","2021-04-21T16:36:58.000Z","","0.008","16","8","4","0.08369572558400835","0.9282152916908264","0.016077784749865532","1.2066022443771365","0.9539458947181702","0.9361739158630372","0.016379280015826225","1.209824800491333","0.9622318148612976","64"
"confused-sponge-220","2021-04-21T16:28:50.000Z","497","2021-04-21T16:37:07.000Z","gpu010.cluster","-","TITAN Xp","2021-04-21T16:37:07.000Z","","0.008","8","8","4","0.04819291885858511","0.5344765789985657","0.020909144806861877","0.7959096675872803","0.5617530035018921","0.5418723225593567","0.02233775518834591","0.798558235168457","0.5705985426902771","64"
"bumbling-armadillo-216","2021-04-21T16:28:50.000Z","490","2021-04-21T16:37:00.000Z","gpu010.cluster","-","TITAN Xp","2021-04-21T16:37:00.000Z","","0.01","8","8","4","0.04712754053682243","0.522661141872406","0.02138678475022316","0.7861539582252502","0.5519094683647155","0.5883912444114685","0.02243952453136444","0.7923614382743835","0.6187543869018555","64"
"wild-durian-216","2021-04-21T16:28:50.000Z","490","2021-04-21T16:37:00.000Z","gpu010.cluster","-","TITAN Xp","2021-04-21T16:37:00.000Z","","0.008","64","8","4","0.09783829005616976","1.085061339378357","0.0144025863930583","1.612988642883301","1.1123678365707397","1.084511637687683","0.013804027810692787","1.6068782806396484","1.1111706495285034","64"
"glad-dust-216","2021-04-21T16:28:50.000Z","490","2021-04-21T16:37:00.000Z","gpu010.cluster","-","TITAN Xp","2021-04-21T16:37:00.000Z","","0.008","128","8","4","0.1132488995878303","1.2559704898834227","0.014054140830039976","1.8410256944656371","1.2847528341293335","1.2802687883377075","0.01276184804737568","1.8362241983413696","1.307720422744751","64"
"summer-dragon-212","2021-04-21T16:28:49.000Z","458","2021-04-21T16:36:27.000Z","gpu005.cluster","-","Tesla P100-PCIE-12GB","2021-04-21T16:36:27.000Z","","0.006","64","8","4","0.09499238910003736","1.0534993240356445","0.014646267223358154","1.8311400888442992","1.0791324295043945","1.0703885555267334","0.01419658213853836","1.827608942985535","1.095550775527954","64"
"expert-butterfly-211","2021-04-21T16:28:49.000Z","451","2021-04-21T16:36:20.000Z","gpu005.cluster","-","Tesla P100-PCIE-12GB","2021-04-21T16:36:20.000Z","","0.006","16","8","4","0.09001382703329701","0.9982852849960328","0.014298161086440086","1.310307974243164","1.0204452888488769","1.030240774154663","0.014922264963388445","1.3147510290145874","1.0530515909194946","64"
"grateful-resonance-210","2021-04-21T16:28:49.000Z","453","2021-04-21T16:36:22.000Z","gpu005.cluster","-","Tesla P100-PCIE-12GB","2021-04-21T16:36:22.000Z","","0.006","32","8","4","0.09766160909725936","1.0831018831253052","0.013969263160228729","1.6167776660919189","1.1067718112945557","1.048017501831055","0.015600808896124365","1.614503264427185","1.073305368423462","64"
"super-wave-209","2021-04-21T16:28:49.000Z","438","2021-04-21T16:36:07.000Z","gpu007.cluster","-","Tesla P100-PCIE-12GB","2021-04-21T16:36:07.000Z","","0.01","128","8","4","0.10919357253447896","1.210995491218567","0.014810541015863418","1.7384826829910278","1.2431908617019654","1.2275714874267578","0.01343581173568964","1.745032548904419","1.2584576606750488","64"
