"Name","State","Runtime","ae_hidden","dsf","c_num","z_channels","alpha","Bits_per_pixel","test_mse","zdim"
"stellar-pyramid-44","finished","593","64","8","32","8","0.001","0.13798345468508544","0.015577551451325417","128"
"prime-water-43","finished","1122","64","8","32","8","0.1","0.01246044186196766","0.047959529304504395","128"
"jumping-disco-42","finished","1055","64","8","8","8","0.1","0.010630413251924715","0.04365101248025894","128"
"lively-eon-40","finished","1139","64","8","8","8","0.001","0.09145522584094642","0.01942108777165413","128"
"morning-oath-40","finished","1102","64","8","16","8","0.1","0.012200235142406457","0.04659298835992813","128"
"floral-shadow-39","finished","1091","64","2","8","32","0.001","1.436622842280472","0.004103225760161876","8192"
"eager-resonance-37","finished","1102","64","2","32","8","0","0.5723466286833714","0.002355168517678976","2048"
"serene-voice-38","finished","1059","64","2","32","16","0","1.1194604680483868","0.002411629407852888","4096"
"misty-snowflake-33","finished","1313","64","2","8","16","0","0.7361391661183152","0.004090006935596466","4096"
"dandy-puddle-33","finished","1288","64","2","8","8","0","0.36914306994155105","0.004001140478998423","2048"
"driven-voice-31","finished","1079","64","2","16","8","0","0.4811935783893862","0.0030375157099217175","2048"
"peach-butterfly-25","finished","1063","64","4","8","8","0","0.18375647726835667","0.010345468840003012","512"
"misty-moon-25","finished","504","64","8","32","32","0.1","0.06529684848556785","0.042928611433506014","512"
"lively-frog-20","finished","563","64","8","16","32","0.1","0.053484213081265","0.06696146501898766","512"
"sunny-spaceship-17","finished","506","64","8","32","16","0.001","0.27095490734076205","0.015431572169065476","256"
"pious-serenity-15","finished","509","64","8","16","16","0.001","0.23444649264530731","0.016931491166353226","256"
"fresh-salad-14","finished","575","64","8","16","8","0.001","0.1154562368897093","0.017242392855882645","128"
"astral-wind-13","finished","574","64","8","16","32","0.001","0.46599385028658663","0.043230892312526706","512"
"legendary-water-11","finished","512","64","8","32","32","0","0.597080341891154","0.037637158501148224","512"
"robust-waterfall-7","finished","584","64","8","16","32","0","0.4878579300503051","0.03949334305524826","512"
"frosty-surf-8","finished","498","64","8","32","8","0","0.14859394558712205","0.015951936230063437","128"
"hopeful-wave-6","finished","560","64","8","32","16","0","0.29751357478897605","0.014680631721019743","256"
"dauntless-river-5","finished","498","64","8","16","16","0","0.24267126563361088","0.017899571818113327","256"
"smooth-resonance-4","finished","508","64","8","8","8","0","0.09243811884980078","0.0193010756701231","128"
"blooming-bee-2","finished","559","64","8","16","8","0","0.12023043904091636","0.01690700074136257","128"
