python eval_jpeg.py --cfile ./configs/ae_run.ini
JPEG quality=1, mse=0.018925263214495846, bpp=5.144355074601492
JPEG quality=5, mse=0.012933119067602934, bpp=5.2796888750275
JPEG quality=10, mse=0.00865398912135631, bpp=5.529296054671094
JPEG quality=20, mse=0.005957165512745521, bpp=5.912558251165024
JPEG quality=30, mse=0.00472845724674517, bpp=6.231562912508251
JPEG quality=40, mse=0.003984323593515581, bpp=6.500240473559471
JPEG quality=50, mse=0.003440031747826627, bpp=6.753270534160683
JPEG quality=60, mse=0.002950499942753282, bpp=7.02717398097962
JPEG quality=70, mse=0.0023864681596201774, bpp=7.435790278305566

